"drawing_name","facility_count","drawing_path"
"E-T73_EPMS 평면도.dxf","361","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf"
"E-J03_전력간선설비 평면도(BUS DUCT).dxf","219","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-J03_전력간선설비 평면도(BUS DUCT).dxf"
"E-H03_전력간선설비 평면도(LV).dxf","128","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-H03_전력간선설비 평면도(LV).dxf"
"E-I03_전력간선설비 평면도(UPS).dxf","124","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-I03_전력간선설비 평면도(UPS).dxf"
"E-G03_전력간선설비 평면도(HV).dxf","73","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-G03_전력간선설비 평면도(HV).dxf"
"E-H03_전력간선설비 평면도(LV).dxf","52","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-H03_전력간선설비 평면도(LV).dxf"
"E-G03_전력간선설비 평면도(HV).dxf","17","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-G03_전력간선설비 평면도(HV).dxf"
"E-N01_IT 동력설비 평면도.dxf","16","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-N01_IT 동력설비 평면도.dxf"
"E-J03_전력간선설비 평면도(BUS DUCT).dxf","16","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-J03_전력간선설비 평면도(BUS DUCT).dxf"
"E-L03_전력간선설비 평면도(IT).dxf","15","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-L03_전력간선설비 평면도(IT).dxf"
"XR 전력간선설비 평면도(LV)_전체.dxf","6","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\XR 전력간선설비 평면도(LV)_전체.dxf"
"E-T73_EPMS 평면도.dxf","4","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-T73_EPMS 평면도.dxf"
"S-D02_출입통제설비 평면도.dxf","4","data\converted\dxf\04_설계도서\04_통신\03 보안(○)\01 도면(CAD)\S-D02_출입통제설비 평면도.dxf"
"E-C14_전기실 장비배치도.dxf","4","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf"
"E-C04_전기실 장비배치도.dxf","4","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-C04_전기실 장비배치도.dxf"
"E-I03_전력간선설비 평면도(UPS).dxf","3","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-I03_전력간선설비 평면도(UPS).dxf"
"E-N01_IT 동력설비 평면도.dxf","1","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-N01_IT 동력설비 평면도.dxf"
"E-S02_피뢰 및 접지설비 평면도.dxf","1","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-S02_피뢰 및 접지설비 평면도.dxf"
"E-W14_태양광 발전설비 평면도.dxf","1","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-W14_태양광 발전설비 평면도.dxf"
"S-C02_CCTV설비 평면도.dxf","1","data\converted\dxf\04_설계도서\04_통신\03 보안(○)\01 도면(CAD)\S-C02_CCTV설비 평면도.dxf"
"T-D03_통합배선설비 평면도.dxf","1","data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-D03_통합배선설비 평면도.dxf"
"E-W12_태양광 발전설비 평면도.dxf","1","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-W12_태양광 발전설비 평면도.dxf"
"T-F02_빌딩안내설비 평면도.dxf","0","data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-F02_빌딩안내설비 평면도.dxf"
"E-R05_조명제어설비 평면도.dxf","0","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-R05_조명제어설비 평면도.dxf"
"T-E02_방송설비 평면도.dxf","0","data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-E02_방송설비 평면도.dxf"
"S-E02_주차관제설비 평면도.dxf","0","data\converted\dxf\04_설계도서\04_통신\03 보안(○)\01 도면(CAD)\S-E02_주차관제설비 평면도.dxf"
"E-L03_전력간선설비 평면도(IT).dxf","0","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-L03_전력간선설비 평면도(IT).dxf"
"T-G01_비상벨설비 평면도.dxf","0","data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-G01_비상벨설비 평면도.dxf"
"T-C02_MMR설비 평면도.dxf","0","data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-C02_MMR설비 평면도.dxf"
"E-R05_조명제어설비 평면도.dxf","0","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-R05_조명제어설비 평면도.dxf"
"E-Q03_전등설비 평면도.dxf","0","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-Q03_전등설비 평면도.dxf"
"E-P01_전열설비 평면도.dxf","0","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-P01_전열설비 평면도.dxf"
"E-P01_전열설비 평면도.dxf","0","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-P01_전열설비 평면도.dxf"
"E-M04_전력간선설비 평면도(건물).dxf","0","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-M04_전력간선설비 평면도(건물).dxf"
"E-Q03_전등설비 평면도.dxf","0","data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-Q03_전등설비 평면도.dxf"
"E-M03_전력간선설비 평면도(건물).dxf","0","data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-M03_전력간선설비 평면도(건물).dxf"
